t(s),x(m),y(m),z(m)
6.54,1.0451252872847965,0.1455548082997452,0.23649899702372454
6.55,1.0324723975019419,0.1741657275172237,0.21814324139654354
6.5600000000000005,1.0195585144731032,0.20268257455541494,0.19970998051440741
6.57,1.00638526111857,0.23110146304597357,0.18120576362713717
6.58,0.9929543051996927,0.2594185246930574,0.16263716519488458
6.59,0.9792673590718225,0.28762990985969195,0.14401078255225253
6.6000000000000005,0.9653261794300232,0.3157317881511503,0.125333233564304
6.61,0.9511325670476589,0.3437203489951317,0.10661115427525909
6.62,0.9366883665078366,0.371591802218767,0.08785119655074351
6.63,0.9219954659277938,0.3993423786222666,0.06906002571440731
6.640000000000001,0.9070557966762529,0.42696833054916117,0.050244318179768696
6.65,0.891871333083783,0.4544659324530601,0.031410759078128604
6.66,0.8764440921462164,0.48183148146082144,0.012566039883352316
6.67,0.8607761332211822,0.5090612979320283,-0.006283143965558071
6.68,0.844869557717779,0.536151726014721,-0.025130095443337202
6.69,0.8287265087794624,0.5630991341972609,-0.04396811831786523
6.7,0.8123491709601666,0.5898999158562781,-0.06279051952931253
6.71,0.7957397698937281,0.6165504898005975,-0.0815906115681573
6.72,0.7789005719566715,0.6430473008110439,-0.10036171485121348
6.73,0.7618338839244002,0.6693868201760536,-0.11909716009487069
6.74,0.7445420526208228,0.6955655462230483,-0.13779029068463786
6.75,0.7270274645615273,0.7215800048453989,-0.15643446504023126
6.76,0.7092925455904908,0.7474267500250031,-0.1750230589752753
6.7700000000000005,0.6913397605104349,0.773102364350309,-0.1935494680508601
6.78,0.6731716127068681,0.798603459529734,-0.21200710992205504
6.79,0.6547906437658438,0.8239266769004423,-0.23038942667658985
6.8,0.63619943308556,0.8490686879323055,-0.24868988716485466
6.8100000000000005,0.6174005974817783,0.874026194727083,-0.266901989320376
6.82,0.5983967907872126,0.8987959305126278,-0.28501926246997544
6.83,0.5791907034448607,0.9233746601321552,-0.3030352696327739
6.84,0.5597850620954306,0.9477591805283857,-0.32094360980720826
6.8500000000000005,0.5401826291588407,0.971946321222598,-0.3387379202452924
6.86,0.5203862024099435,0.9959329447884074,-0.35641187871325064
6.87,0.5003986145484571,1.0197159473203004,-0.37395920573780095
6.88,0.4802227327632401,1.04329225889677,-0.3913736668372018
6.890000000000001,0.4598614582909468,1.0666588440380156,-0.408649074736349
6.9,0.43931772596912533,1.0898127021581456,-0.42577929156507316
6.91,0.41859450378383856,1.1127508680118012,-0.442758231038901
6.92,0.3976947924118933,1.1354704121351114,-0.45957986062148787
6.93,0.376621624757721,1.1579684412809481,-0.47623820366793806
6.94,0.35537806548501316,1.18024209884838,-0.49272734154829106
6.95,0.33396721054315404,1.2022885653062871,-0.5090414157503713
6.96,0.31239218668853797,1.224105058611059,-0.5251746299612947
6.97,0.2906561510008635,1.2456888346182957,-0.5411212521268753
6.98,0.2687622903944674,1.26703718748846,-0.5568756164881881
6.99,0.24671382112474227,1.2881474500864492,-0.5724321255945914
7.0,0.2245139882897932,1.309016994374947,-0.5877852522924727
7.01,0.2021660653273184,1.329643231801592,-0.6029295416890234
7.0200000000000005,0.1796733535068703,1.3500236136798196,-0.6178596130903349
7.03,0.15703918141754714,1.3701556315633519,-0.6325701619131241
7.04,0.13426690445116207,1.3900368176143074,-0.6470559615694444
7.05,0.11135990428105147,1.4096647449647999,-0.661311865323651
7.0600000000000005,0.08832158833650505,1.4290370280720588,-0.6753328081210241
7.07,0.06515538927300413,1.448151323066928,-0.6891138083873486
7.08,0.041864764438246715,1.4670053280957744,-0.7026499697988484
7.09,0.018453195334148575,1.485596783655669,-0.7159364830218309
7.1000000000000005,-0.0050758129252018724,1.5039234729228734,-0.7289686274214117
7.11,-0.02871873215944054,1.521983222074499,-0.7417417727387398
7.12,-0.05247201167169668,1.5397739006033633,-0.7542513807361035
7.13,-0.07633207880206239,1.5572934216259373,-0.7664930068093488
7.140000000000001,-0.10029533948471347,1.5745397421833625,-0.7784623015670239
7.15,-0.12435817880860278,1.591510863535497,-0.7901550123756902
7.16,-0.1485169615816243,1.6082048314479362,-0.8015669848708767
7.17,-0.17276803289814446,1.6246197364719523,-0.8126941644330934
7.18,-0.19710771870984167,1.6407537142173334,-0.8235325976284272
7.19,-0.22153232639973341,1.656604945618057,-0.8340784336131714
7.2,-0.24603814535933277,1.6721716571907783,-0.8443279255020146
7.21,-0.2706214475688268,1.6874521212860858,-0.854277431699295
7.22,-0.29527848818017177,1.7024446563324724,-0.8639234171928346
7.23,-0.3200055061030236,1.7171476270729944,-0.8732624548099206
7.24,-0.34479872459344996,1.7315594447946054,-0.8822912264349532
7.25,-0.3696543518452421,1.7456785675500759,-0.8910065241883672
7.26,-0.394568581583842,1.7595035003725277,-0.8994052515663706
7.2700000000000005,-0.4195375936626984,1.7730327954824994,-0.9074844245411169
7.28,-0.444557554661999,1.7862650524875328,-0.9152411726209178
7.29,-0.4696246184897128,1.7991989185742652,-0.9226727398701146
7.3,-0.4947349269847668,1.8118330886929574,-0.9297764858882513
7.3100000000000005,-0.5198846105223649,1.8241663057344784,-0.9365498867481925
7.32,-0.545069788621245,1.8361973606996722,-0.9429905358928642
7.33,-0.5702865705528906,1.8479250928611275,-0.9490961449902945
7.34,-0.5955310559524856,1.8593483899172787,-0.9548645447466426
7.3500000000000005,-0.6207993354316321,1.8704661881388638,-0.9602936856769434
7.36,-0.6460874911926202,1.8812774725076675,-0.9653816388332739
7.37,-0.671391597644261,1.891781276847578,-0.9701265964901059
7.38,-0.6967077220191,1.9019766839478955,-0.974526872786577
7.390000000000001,-0.7220319249919513,1.9118628256788976,-0.9785809043254721
7.4,-0.7473602612996637,1.9214388830996425,-0.9822872507286888
7.41,-0.7726887803620108,1.930704086557992,-0.9856445951489979
7.42,-0.7980135269035853,1.9396577157828299,-0.988651744737914
7.43,-0.8233305415766379,1.9482990999684797,-0.9913076310695064
7.44,-0.8486358615847254,1.956627617851294,-0.9936113105200083
7.45,-0.8739255213071049,1.9646426977784148,-0.99556196460308
7.46,-0.8991955529237592,1.9723438177686972,-0.9971589002606138
7.47,-0.9244419870409403,1.9797305055657703,-0.998401550108975
7.48,-0.94966085331714,1.986802338683247,-0.9992894726405892
7.49,-0.9748481810894327,1.9935589444420734,-0.9998223523808091
7.5,-0.9999999999999992,1.9999999999999998,-1.0
7.51,-1.02511234062284,2.0061252323731904,-0.9998223523808091
7.5200000000000005,-1.0501812350904907,2.0119344184499526,-0.9992894726405892
7.53,-1.0752027177206762,2.0174273849965862,-0.998401550108975
7.54,-1.1001728256428391,2.0226040086553723,-0.9971589002606139
7.55,-1.125087599424357,2.027464215934671,-0.9955619646030801
7.5600000000000005,-1.1499430836964553,2.0320079831911624,-0.9936113105200085
7.57,-1.17473532777961,2.03623533660421,-0.9913076310695066
7.58,-1.199460386308448,2.04014635214237,-0.9886517447379142
7.59,-1.2241143198559379,2.0437411555220413,-0.9856445951489982
7.6000000000000005,-1.2486931955568814,2.0470199221582694,-0.9822872507286886
7.61,-1.273193087730501,2.049982877107708,-0.978580904325472
7.62,-1.2976100785021263,2.0526302950037607,-0.9745268727865772
7.63,-1.3219402584237974,2.0549624999838936,-0.9701265964901062
7.640000000000001,-1.3461797270937268,2.0569798656091542,-0.9653816388332737
7.65,-1.3703245937745299,2.0586828147758918,-0.9602936856769432
7.66,-1.3943709780101132,2.0600718196197088,-0.954864544746643
7.67,-1.4183150102411057,2.0611474014116467,-0.9490961449902949
7.68,-1.4421528324187702,2.061910130446636,-0.9429905358928646
7.69,-1.4658805986172645,2.0623606259242178,-0.9365498867481923
7.7,-1.4894944756441875,2.0624995558215664,-0.9297764858882518
7.71,-1.512990643649299,2.0623276367588304,-0.922672739870115
7.72,-1.5363652967313022,2.0618456338568096,-0.9152411726209182
7.73,-1.5596146435426022,2.061054360587004,-0.9074844245411166
7.74,-1.5827349078919846,2.059954678614043,-0.8994052515663712
7.75,-1.6057223293450318,2.058547497630538,-0.8910065241883677
7.76,-1.628573163822285,2.0568337751843724,-0.8822912264349537
7.7700000000000005,-1.6512836841949712,2.054814516498463,-0.8732624548099203
